Ai,MARCOS,MARCOS dir
BEL,0.0013260482158163889,1.0
BGR,0.000567857086456458,1.0
CZE,0.0024427447995896134,1.0
DNK,0.12669010269980252,1.0
DEU,0.0008241147778633717,1.0
EST,0.15708860113401757,1.0
IRL,0.004050974581561895,1.0
GRC,0.003024964145177167,1.0
ESP,0.00025744467549393413,1.0
FRA,0.0006695344684739535,1.0
HRV,0.0017301913513889655,1.0
ITA,0.00028321440804268683,1.0
CYP,0.00048042481865351316,1.0
LVA,0.0020237186244481675,-1.0
LTU,0.0008799404368412533,1.0
LUX,0.0001728250977796053,-1.0
HUN,0.0021000253159142446,1.0
MLT,0.00048161109077105024,1.0
NLD,0.01173798348227395,1.0
AUT,0.007726296023082613,1.0
POL,0.0034645362038951966,1.0
PRT,0.0008433237534758442,-1.0
ROU,0.008753701140394199,1.0
SVN,0.0011615602833475736,1.0
SVK,0.0030557248087693667,1.0
FIN,0.0007627315980558436,1.0
SWE,0.007397560893640964,1.0
ISL,0.005788528790517722,-1.0
NOR,0.005140677422781681,-1.0
